Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	全存花费	T
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	0.04167
Improved	531.6231088877148	0.18830171303344045	531.8114106007482	11	0.001606903589860876	556.0879915883676	0.04167
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	全存花费	T
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	0.08333
Improved	487.08441514980757	0.6268570566987937	487.71127220650635	25	0.005818522369522372	556.0879915883676	0.08333
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	全存花费	T
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	0.208333
Improved	320.46262088617436	9.76845602935684	330.2310769155312	90	0.05423856157486517	556.0879915883676	0.208333
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	全存花费	T
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	0.416667
Improved	133.63256054149332	45.288211360353046	178.92077190184636	146	0.15044275447068534	556.0879915883676	0.416667
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	全存花费	T
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	0.625
Improved	147.33236745510249	20.013536445183888	167.34590390028637	127	0.14376015614458948	556.0879915883676	0.625
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	全存花费	T
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	1.0
Improved	81.33810136252809	35.31532101232183	116.65342237484992	146	0.17280244299501799	556.0879915883676	1.0
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	全存花费	T
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	10.0
Improved	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	556.0879915883676	10.0
######################################################################################################
