Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.1	556.0879915883676	0.45044033037968534
Improved	71.80049430594283	35.82995168041387	107.6304459863567	148	0.18073239698215324	0.1	556.0879915883676	0.45044033037968534
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.2	556.0879915883676	0.35421067786668053
Improved	81.17659316294902	32.10244035904435	113.27903352199337	145	0.17823419372319665	0.2	556.0879915883676	0.35421067786668053
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.30000000000000004	556.0879915883676	0.2963795390205385
Improved	89.61147455447399	29.338952189290264	118.95042674376425	140	0.17179791757264234	0.30000000000000004	556.0879915883676	0.2963795390205385
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.4	556.0879915883676	0.2563656418056118
Improved	99.25655199267516	26.78459668160109	126.04114867427624	138	0.16808733924837665	0.4	556.0879915883676	0.2563656418056118
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.5	556.0879915883676	0.22658365114476772
Improved	109.0254486882086	24.48589224115222	133.5113409293608	134	0.1621462160407083	0.5	556.0879915883676	0.22658365114476772
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.6	556.0879915883676	0.2033700548831795
Improved	124.2693182096483	21.178211123821434	145.44752933346973	132	0.1534067494288275	0.6	556.0879915883676	0.2033700548831795
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.7	556.0879915883676	0.18468067919623732
Improved	129.12643666460372	20.25749873128807	149.3839353958918	131	0.1518302160244731	0.7	556.0879915883676	0.18468067919623732
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.7999999999999999	556.0879915883676	0.169264778165399
Improved	137.5603441239884	18.73838364186869	156.29872776585708	129	0.14731911486523877	0.7999999999999999	556.0879915883676	0.169264778165399
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.8999999999999999	556.0879915883676	0.15630587786301356
Improved	146.78495133754734	17.232370150666974	164.01732148821432	127	0.1436636375055655	0.8999999999999999	556.0879915883676	0.15630587786301356
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	0.9999999999999999	556.0879915883676	0.1452445886916376
Improved	150.40161120061117	16.688061225646166	167.08967242625732	125	0.141752279807979	0.9999999999999999	556.0879915883676	0.1452445886916376
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	1.0999999999999999	556.0879915883676	0.13568294042909243
Improved	156.14113559238157	15.866625334742562	172.00776092712414	122	0.13714677092188426	1.0999999999999999	556.0879915883676	0.13568294042909243
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	1.2	556.0879915883676	0.1273290900773927
Improved	169.75043356011548	14.080107366092129	183.83054092620762	118	0.1299980986137398	1.2	556.0879915883676	0.1273290900773927
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	1.3	556.0879915883676	0.11996360711592616
Improved	176.01466711258183	13.304148446872112	189.31881555945395	116	0.12765224337415657	1.3	556.0879915883676	0.11996360711592616
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	1.4000000000000001	556.0879915883676	0.11341800611836968
Improved	183.02093098052083	12.484015041731961	195.5049460222528	113	0.12349332102562315	1.4000000000000001	556.0879915883676	0.11341800611836968
######################################################################################################
Name	存储花费	计算花费	totalcost	不存数据集个数	average gentime	愿意多花钱的百分比	全存花费	λ
Benchmark	42.11595943337175	57.31415519773419	99.43011463110594	164	0.2028414188330031	1.5000000000000002	556.0879915883676	0.10756057909867921
Improved	188.76684018063114	11.850399491359598	200.61723967199075	112	0.11987064994103093	1.5000000000000002	556.0879915883676	0.10756057909867921
######################################################################################################
